pk_registro;temperatura_c;temperatura_c_situacao;pressao_atm;umidade_relativa;umidade_relativa_situacao;valor_entalpia;situacao_entalpia;data;hora
1;25,01;ATENCAO;932,85;49,56;ATENCAO;45,18;CRITICA;23/09/2021;0:14:14
2;23,97;ATENCAO;932,65;50,69;ATENCAO;43,35;CRITICA;23/09/2021;0:30:57
3;23,03;ATENCAO;932,51;54,73;ATENCAO;42,78;CRITICA;23/09/2021;0:47:40
4;25,17;ATENCAO;932,48;48,99;ATENCAO;45,31;CRITICA;23/09/2021;1:04:23
5;28,1;OTIMA;932,29;44,57;ATENCAO;49,93;ATENCAO;23/09/2021;1:21:06
6;29,78;OTIMA;932,12;41,2;ATENCAO;52,06;ATENCAO;23/09/2021;1:37:49
7;30,9;ATENCAO;931,96;41,16;ATENCAO;54,65;ATENCAO;23/09/2021;1:54:32
8;31,42;ATENCAO;931,8;40,42;ATENCAO;55,45;ATENCAO;23/09/2021;2:11:15
9;31,67;ATENCAO;931,7;39,92;CRITICA;55,75;ATENCAO;23/09/2021;2:27:58
10;31,69;ATENCAO;931,48;40,41;ATENCAO;56,10;ATENCAO;23/09/2021;2:44:41
11;31,57;ATENCAO;931,43;41,03;ATENCAO;56,18;ATENCAO;23/09/2021;3:01:24
12;31,22;ATENCAO;931,36;41,55;ATENCAO;55,65;ATENCAO;23/09/2021;3:18:07
13;29,68;OTIMA;931,33;42,83;ATENCAO;52,72;ATENCAO;23/09/2021;3:34:50
14;30,82;ATENCAO;931,4;42,68;ATENCAO;55,34;ATENCAO;23/09/2021;3:51:33
15;32,31;ATENCAO;931,42;38,97;CRITICA;56,71;ATENCAO;23/09/2021;4:08:16
16;33,26;ATENCAO;931,42;38,63;CRITICA;58,78;ATENCAO;23/09/2021;4:24:59
17;33,83;ATENCAO;931,4;38,26;CRITICA;59,94;ATENCAO;23/09/2021;4:41:42
18;33,29;ATENCAO;931,46;37,96;CRITICA;58,42;ATENCAO;23/09/2021;4:58:25
19;31,81;ATENCAO;931,56;39,58;CRITICA;55,88;ATENCAO;23/09/2021;5:15:08
20;30,23;ATENCAO;931,86;41,33;ATENCAO;53,17;ATENCAO;23/09/2021;5:31:51
21;28,57;OTIMA;932,08;42,33;ATENCAO;49,90;ATENCAO;23/09/2021;5:48:35
22;26,88;ATENCAO;932,19;45,02;ATENCAO;47,40;CRITICA;23/09/2021;6:05:18
23;25,8;ATENCAO;932,3;48,45;ATENCAO;46,49;CRITICA;23/09/2021;6:22:01
24;25,05;ATENCAO;932,53;49,64;ATENCAO;45,31;CRITICA;23/09/2021;6:38:44
25;29,22;OTIMA;932,55;45,06;ATENCAO;52,78;ATENCAO;23/09/2021;6:55:27
26;32,93;ATENCAO;932,57;39,19;CRITICA;58,31;ATENCAO;23/09/2021;7:12:10
27;30,99;ATENCAO;932,97;39,98;CRITICA;54,16;ATENCAO;23/09/2021;7:28:53
28;33,39;ATENCAO;932,9;41,67;ATENCAO;61,07;ATENCAO;23/09/2021;7:45:36
29;31,2;ATENCAO;933,12;38,5;CRITICA;53,78;ATENCAO;23/09/2021;8:02:19
30;29,88;OTIMA;933,16;43,3;ATENCAO;53,39;ATENCAO;23/09/2021;8:19:02
31;29,92;OTIMA;933,39;43,28;ATENCAO;53,47;ATENCAO;23/09/2021;8:32:15
32;30,16;ATENCAO;933,28;42,46;ATENCAO;53,59;ATENCAO;23/09/2021;8:48:58
33;30,8;ATENCAO;933,51;43,27;ATENCAO;55,57;ATENCAO;23/09/2021;9:05:41
34;31,4;ATENCAO;933,32;40,89;ATENCAO;55,64;ATENCAO;23/09/2021;9:22:24
35;29,63;OTIMA;933,46;39,16;CRITICA;50,60;ATENCAO;23/09/2021;9:39:07
36;30,68;ATENCAO;933,39;36,16;CRITICA;51,27;ATENCAO;23/09/2021;9:55:50
37;31,72;ATENCAO;933,28;34,82;CRITICA;52,78;ATENCAO;23/09/2021;10:12:33
38;31,81;ATENCAO;933,17;34,26;CRITICA;52,64;ATENCAO;23/09/2021;10:29:16
39;31,09;ATENCAO;933,17;33,15;CRITICA;50,44;ATENCAO;23/09/2021;10:45:59
40;30,2;ATENCAO;933,05;33,67;CRITICA;48,87;ATENCAO;23/09/2021;11:02:42
41;30,97;ATENCAO;932,86;32,14;CRITICA;49,61;ATENCAO;23/09/2021;11:19:25
42;31,14;ATENCAO;932,7;30,68;CRITICA;49,12;ATENCAO;23/09/2021;11:36:08
43;31,57;ATENCAO;932,43;30,03;CRITICA;49,62;ATENCAO;23/09/2021;11:52:51
44;31,59;ATENCAO;932,11;30,42;CRITICA;49,90;ATENCAO;23/09/2021;12:09:34
45;31,78;ATENCAO;931,99;29,41;CRITICA;49,68;ATENCAO;23/09/2021;12:26:17
46;31,46;ATENCAO;931,79;28,58;CRITICA;48,55;OTIMA;23/09/2021;12:43:00
47;31,78;ATENCAO;931,47;28,29;CRITICA;49,01;ATENCAO;23/09/2021;12:59:43
48;31,77;ATENCAO;931,13;28,73;CRITICA;49,27;ATENCAO;23/09/2021;13:16:26
49;31,74;ATENCAO;930,87;29,51;CRITICA;49,68;ATENCAO;23/09/2021;13:33:09
50;32,08;ATENCAO;930,74;30,11;CRITICA;50,74;ATENCAO;23/09/2021;13:49:52
51;32,02;ATENCAO;930,43;29,71;CRITICA;50,38;ATENCAO;23/09/2021;14:06:35
